Statistical profiling result from Proffiling-raw-NoAuthinfoLog.log, (6007 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      9    0.1%    1.1%  __pthread_cond_timedwait
      8    0.1%    1.0%  operator delete(void*)
      7    0.1%    0.9%  __libc_write
      6    0.1%    0.8%  cfree
      6    0.1%    0.8%  __mprotect
      5    0.1%    0.6%  operator new(unsigned long)
      4    0.1%    0.5%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      4    0.1%    0.5%  shutdown
      4    0.1%    0.5%  __pthread_cond_signal
      4    0.1%    0.5%  __madvise
      4    0.1%    0.5%  __libc_read
      4    0.1%    0.5%  _IO_file_xsputn
      3    0.0%    0.4%  operator new[](unsigned long)
      3    0.0%    0.4%  do_futex_wait.constprop.0
      2    0.0%    0.3%  __libc_open
      2    0.0%    0.3%  __GI___pthread_mutex_unlock
      2    0.0%    0.3%  __GI___pthread_mutex_lock
      2    0.0%    0.3%  __GI___pthread_getspecific
      1    0.0%    0.1%  std::ostream::sentry::sentry(std::ostream&)
      1    0.0%    0.1%  std::ios_base::~ios_base()
      1    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.0%    0.1%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)
      1    0.0%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.0%    0.1%  posix_memalign
      1    0.0%    0.1%  fmod
      1    0.0%    0.1%  accept4
      1    0.0%    0.1%  __lll_lock_wait
      1    0.0%    0.1%  __errno_location
      1    0.0%    0.1%  _IO_file_write
      1    0.0%    0.1%  _IO_do_write
      1    0.0%    0.1%  _IO_default_xsputn

 [Summary]:
   ticks  total  nonlib   name
    540    9.0%   67.8%  JavaScript
    246    4.1%   30.9%  C++
    166    2.8%   20.8%  GC
   5210   86.7%          Shared libraries
     11    0.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     37   27.8%    0.6%  __write
     19   14.3%    0.3%  syscall
     15   11.3%    0.2%  __libc_malloc
     14   10.5%    0.2%  fwrite
      6    4.5%    0.1%  operator delete(void*)
      5    3.8%    0.1%  __libc_write
      4    3.0%    0.1%  cfree
      4    3.0%    0.1%  __madvise
      3    2.3%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      3    2.3%    0.0%  operator new[](unsigned long)
      3    2.3%    0.0%  operator new(unsigned long)
      3    2.3%    0.0%  _IO_file_xsputn
      2    1.5%    0.0%  __pthread_cond_signal
      2    1.5%    0.0%  __mprotect
      2    1.5%    0.0%  __libc_open
      2    1.5%    0.0%  __GI___pthread_mutex_unlock
      1    0.8%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      1    0.8%    0.0%  std::ios_base::~ios_base()
      1    0.8%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)
      1    0.8%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.8%    0.0%  posix_memalign
      1    0.8%    0.0%  fmod
      1    0.8%    0.0%  __GI___pthread_mutex_lock
      1    0.8%    0.0%  _IO_file_write
      1    0.8%    0.0%  _IO_do_write

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   5071   84.4%  /usr/bin/node
   2517   49.6%    /usr/bin/node
    285   11.3%      LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:986:18
    285  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1039:37
    285  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1094:37
    268   94.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:938:33
     17    6.0%            LazyCompile: *Module._load internal/modules/cjs/loader.js:725:24
    159    6.3%      LazyCompile: ~memoryUsage internal/process/per_thread.js:158:23
    159  100.0%        LazyCompile: ~GenerarInfo /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/server.js:295:21
    159  100.0%          LazyCompile: ~handle /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/layer.js:86:49
    159  100.0%            LazyCompile: ~next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/route.js:114:16
    114    4.5%      /usr/bin/node
      7    6.1%        LazyCompile: *asString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/date-format/lib/index.js:29:18
      7  100.0%          LazyCompile: ~timestampLevelAndCategory /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/log4js/lib/layouts.js:41:35
      7  100.0%            LazyCompile: ~colouredLayout /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/log4js/lib/layouts.js:70:24
      6    5.3%        LazyCompile: ~expressInit /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/middleware/init.js:29:30
      6  100.0%          LazyCompile: ~handle /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/layer.js:86:49
      6  100.0%            LazyCompile: ~trim_prefix /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:288:23
      6    5.3%        LazyCompile: ~asString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/date-format/lib/index.js:29:18
      6  100.0%          LazyCompile: ~timestampLevelAndCategory /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/log4js/lib/layouts.js:41:35
      6  100.0%            LazyCompile: ~colouredLayout /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/log4js/lib/layouts.js:70:24
      6    5.3%        LazyCompile: *quotedString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      3   50.0%          LazyCompile: ~pushSource /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      3  100.0%            LazyCompile: ~append /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      3   50.0%          LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      3  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      4    3.5%        LazyCompile: ~readPackage internal/modules/cjs/loader.js:258:21
      3   75.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:289:26
      2   66.7%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:409:17
      1   33.3%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1094:37
      1   25.0%          LazyCompile: ~resolveExports internal/modules/cjs/loader.js:440:24
      1  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:462:28
      4    3.5%        LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:462:28
      4  100.0%          LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:816:35
      3   75.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:725:24
      1   25.0%            LazyCompile: *Module._load internal/modules/cjs/loader.js:725:24
      4    3.5%        LazyCompile: ~<anonymous> internal/fs/utils.js:345:35
      4  100.0%          LazyCompile: ~<anonymous> internal/fs/utils.js:650:38
      4  100.0%            LazyCompile: ~<anonymous> internal/fs/utils.js:662:42
      4    3.5%        LazyCompile: *pushSource /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      2   50.0%          LazyCompile: ~appendEscaped /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      2  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2   50.0%          LazyCompile: ~append /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      2  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      3    2.6%        LazyCompile: ~stat internal/modules/cjs/loader.js:146:14
      3  100.0%          LazyCompile: ~tryFile internal/modules/cjs/loader.js:352:17
      3  100.0%            LazyCompile: ~tryExtensions internal/modules/cjs/loader.js:368:23
      3    2.6%        LazyCompile: ~parse /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/minimatch/minimatch.js:299:16
      3  100.0%          /usr/bin/node
      3  100.0%            LazyCompile: ~<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/minimatch/minimatch.js:201:26
      3    2.6%        LazyCompile: ~padWithZeros /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/date-format/lib/index.js:3:22
      3  100.0%          LazyCompile: ~asString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/date-format/lib/index.js:29:18
      3  100.0%            LazyCompile: ~timestampLevelAndCategory /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/log4js/lib/layouts.js:41:35
      3    2.6%        LazyCompile: ~header /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/response.js:759:29
      3  100.0%          LazyCompile: ~send /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/response.js:107:25
      2   66.7%            LazyCompile: *renderView /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      1   33.3%            LazyCompile: ~done /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/response.js:1011:27
      3    2.6%        LazyCompile: ~checkInvalidHeaderChar _http_common.js:231:32
      3  100.0%          LazyCompile: ~<anonymous> _http_outgoing.js:549:45
      3  100.0%            LazyCompile: ~setHeader _http_outgoing.js:559:57
      3    2.6%        LazyCompile: ~FastBuffer internal/buffer.js:957:14
      3  100.0%          LazyCompile: ~createUnsafeBuffer buffer.js:153:28
      2   66.7%            LazyCompile: ~allocUnsafeSlow buffer.js:396:50
      1   33.3%            LazyCompile: ~createPool buffer.js:162:20
      3    2.6%        LazyCompile: *parse /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/minimatch/minimatch.js:299:16
      3  100.0%          /usr/bin/node
      3  100.0%            LazyCompile: ~<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/minimatch/minimatch.js:201:26
      2    1.8%        LazyCompile: ~pipe /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/send/index.js:510:43
      2  100.0%          LazyCompile: ~serveStatic /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/serve-static/index.js:72:31
      1   50.0%            LazyCompile: ~handle /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/layer.js:86:49
      1   50.0%            LazyCompile: *trim_prefix /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:288:23
      2    1.8%        LazyCompile: ~mergeSource /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      1   50.0%          LazyCompile: ~createFunctionContext /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:216:56
